Item Name,Hash Name,URL,Hero ID,Data Available
Latticean Shards,Latticean%20Shards,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Latticean%20Shards,88,True
Malefic Drake's Hood,Malefic%20Drake%27s%20Hood,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Malefic%20Drake%27s%20Hood,47,True
Eyes of Ardenok,Eyes%20of%20Ardenok,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Eyes%20of%20Ardenok,97,True
Sullen Harvest,Sullen%20Harvest,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Sullen%20Harvest,36,True
Full-Bore Bonanza,Full-Bore%20Bonanza,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Full-Bore%20Bonanza,35,True
Taunt: Ogre Hop,Taunt%3A%20Ogre%20Hop,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Taunt%3A%20Ogre%20Hop,84,True
Bellows of Creation,Bellows%20of%20Creation,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Bellows%20of%20Creation,103,True
B.U.S.T.E.R of the Crimson Witness,B.U.S.T.E.R%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=B.U.S.T.E.R%20of%20the%20Crimson%20Witness,72,True
Gravelmaw,Gravelmaw,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Gravelmaw,7,True
Fin of the First Spear,Fin%20of%20the%20First%20Spear,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Fin%20of%20the%20First%20Spear,28,True
Offhand Basher of Mage Skulls,Offhand%20Basher%20of%20Mage%20Skulls,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Offhand%20Basher%20of%20Mage%20Skulls,1,True
Golden Dread Requisition,Golden%20Dread%20Requisition,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Dread%20Requisition,54,True
Shadow in the Deep Bracers,Shadow%20in%20the%20Deep%20Bracers,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Shadow%20in%20the%20Deep%20Bracers,93,True
Sea Rake's Bridle,Sea%20Rake%27s%20Bridle,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Sea%20Rake%27s%20Bridle,93,True
Axia of Metira,Axia%20of%20Metira,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Axia%20of%20Metira,9,True
Horns of the Betrayer,Horns%20of%20the%20Betrayer,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Horns%20of%20the%20Betrayer,26,True
Solar Gyre,Solar%20Gyre,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Solar%20Gyre,110,True
Golden Latticean Shards,Golden%20Latticean%20Shards,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Latticean%20Shards,88,True
Shock of the Anvil,Shock%20of%20the%20Anvil,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Shock%20of%20the%20Anvil,97,True
Apogee of the Guardian Flame,Apogee%20of%20the%20Guardian%20Flame,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Apogee%20of%20the%20Guardian%20Flame,106,True
